host_id,host_name,host_since_year,host_since_anniversary,id,neighbourhood_cleansed,city,state,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
59484,Alex,2009,12/2,20168,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36508703,4.893541008,House,Private room,2,1,1,1,Real Bed,50,2,0,1,within an hour,1,25,83,9,9,9,8,10,9
59484,Alex,2009,12/2,3903880,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36343343,4.892453063,House,Private room,2,4,1,1,Real Bed,50,1,0,1,within an hour,1,14,86,9,9,9,9,10,9
62341,Jurgen,2009,12/11,1030014,Centrum-West,Amsterdam,North Holland,1015 GN,Netherlands,52.38189925,4.882599016,Apartment,Entire home/apt,2,1,1,1,Real Bed,69,1,0,3,within an hour,1,13,90,9,8,10,10,10,9
65041,Ym,2009,12/22,43980,Zuid,Amsterdam,North Holland,1054,Netherlands,52.35745628,4.861242085,Apartment,Entire home/apt,4,1,1,2,Real Bed,80,4,10,2,within a few hours,0.99,46,77,7,7,9,9,9,8
65041,Ym,2009,12/22,85767,Centrum-West,Amsterdam,North Holland,1013 NS,Netherlands,52.3881284,4.888545572,Apartment,Entire home/apt,4,1.5,1,4,Real Bed,80,4,10,2,within a few hours,0.99,49,73,7,7,8,9,9,7
69651,William,2010,1/11,5728108,Oostelijk Havengebied - Indische Buurt,Amsterdam,Noord-Holland,1019,Netherlands,52.37300252,4.951019576,House,Private room,2,1,1,1,Real Bed,110,1,0,2,within an hour,1,0,,,,,,,
69651,William,2010,1/11,129744,Oostelijk Havengebied - Indische Buurt,WZ,Amsterdam,1019 WZ,Netherlands,52.37320882,4.952018098,House,Entire home/apt,2,2,1,1,Real Bed,350,1,0,2,within an hour,1,0,,,,,,,
70937,Tui,2010,1/16,3739250,Centrum-Oost,Amsterdam,North Holland,1018 HL,Netherlands,52.36781183,4.923052202,Apartment,Entire home/apt,4,1,1,2,Real Bed,110,2,10,3,within an hour,1,5,88,9,10,10,9,8,8
74250,Margreet & Arnout,2010,1/27,3261215,Centrum-West,Amsterdam,North Holland,1052,Netherlands,52.37501222,4.879694208,Apartment,Private room,2,1,1,1,Real Bed,74,1,0,4,within a few hours,0.8,22,97,10,10,10,10,10,10
77484,Annelies,2010,2/4,2820641,Centrum-West,Amsterdam,North Holland,1012 ML,Netherlands,52.37785675,4.896534945,Apartment,Entire home/apt,8,1,2,5,Real Bed,250,4,30,3,within a few hours,1,34,96,10,10,10,10,10,9
77484,Annelies,2010,2/4,3302169,Centrum-West,Amsterdam,North Holland,1016 LK,Netherlands,52.37303502,4.876419434,Apartment,Entire home/apt,6,1.5,4,6,Real Bed,200,4,30,3,within a few hours,1,2,90,6,8,7,9,9,9
77484,Annelies,2010,2/4,1756765,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 MX,Netherlands,52.36318648,4.867269951,Boat,Entire home/apt,6,1,2,3,Real Bed,180,4,40,3,within a few hours,1,35,94,9,9,10,10,9,9
77484,Annelies,2010,2/4,743666,De Baarsjes - Oud-West,Amsterdam,North Holland,1053,Netherlands,52.36986326,4.872518729,Boat,Entire home/apt,6,1,2,4,Real Bed,200,4,40,3,within a few hours,1,72,95,10,9,10,10,10,9
77484,Annelies,2010,2/4,468132,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1074 EN,Netherlands,52.35305467,4.90188698,Apartment,Entire home/apt,6,2,2,3,Real Bed,160,4,30,3,within a few hours,1,52,89,9,9,10,10,9,9
77484,Annelies,2010,2/4,822614,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1073 GG,Netherlands,52.35281266,4.896553574,Apartment,Entire home/apt,6,2,2,3,Real Bed,200,4,30,3,within a few hours,1,32,91,9,9,9,10,10,9
77484,Annelies,2010,2/4,2396344,Oud-Oost,Amsterdam,North Holland,1091 DM,Netherlands,52.36100828,4.916213631,Apartment,Entire home/apt,6,1.5,2,5,Real Bed,160,4,30,3,within a few hours,1,25,89,9,9,10,10,8,8
77484,Annelies,2010,2/4,5275545,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 NP,Netherlands,52.36129424,4.858443675,Boat,Entire home/apt,4,1,2,3,Real Bed,120,2,30,3,within a few hours,1,2,90,10,9,9,10,10,10
77484,Annelies,2010,2/4,857794,Centrum-Oost,Amsterdam,North Holland,1017 RD,Netherlands,52.36376239,4.884498735,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,120,2,30,3,within a few hours,1,45,92,9,9,10,10,9,9
77484,Annelies,2010,2/4,5234498,De Baarsjes - Oud-West,Amsterdam,Noord-Holland,1052 SJ,Netherlands,52.3722377,4.871811203,Boat,Entire home/apt,4,1,1,2,Real Bed,120,2,30,3,within a few hours,1,0,,,,,,,
77484,Annelies,2010,2/4,236632,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1072 CC,Netherlands,52.35613973,4.888475752,Apartment,Entire home/apt,4,1,1,2,Real Bed,100,2,20,4,within a few hours,1,39,96,10,10,10,10,10,9
77484,Annelies,2010,2/4,999908,Oud-Oost,Amsterdam,North Holland,1092,Netherlands,52.35674793,4.924005845,Apartment,Entire home/apt,4,1,1,2,Real Bed,75,2,30,5,within a few hours,1,19,87,9,9,9,10,9,9
77484,Annelies,2010,2/4,2821480,Centrum-West,Amsterdam,North Holland,1012,Netherlands,52.3770844,4.895307225,Apartment,Entire home/apt,4,1,1,4,Real Bed,140,2,30,3,within a few hours,1,19,96,10,9,10,10,9,9
77484,Annelies,2010,2/4,3414536,Westerpark,Amsterdam,North Holland,1052 EJ,Netherlands,52.37359727,4.873286997,Boat,Entire home/apt,4,1,1,1,Real Bed,160,2,30,3,within a few hours,1,13,94,10,10,10,10,9,9
77484,Annelies,2010,2/4,2821284,Centrum-West,Amsterdam,North Holland,1012,Netherlands,52.37727689,4.8950297,Apartment,Entire home/apt,4,1,1,2,Real Bed,120,2,30,3,within a few hours,1,24,95,10,9,10,10,10,9
78857,Am,2010,2/8,20818,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36318355,4.89964497,Apartment,Entire home/apt,3,1,1,2,Real Bed,80,2,22,2,N/A,N/A,2,100,10,10,10,10,10,10
82145,Wim,2010,2/17,4069573,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1079 LM,Netherlands,52.34530413,4.911874372,Boat,Entire home/apt,10,2,5,6,Real Bed,206,4,50,3,within a few hours,1,1,40,6,4,2,8,8,6
82145,Wim,2010,2/17,948808,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1074 JH,Netherlands,52.35280372,4.908385671,Boat,Entire home/apt,6,1,2,3,Real Bed,140,2,35,3,within a few hours,1,10,83,8,8,8,9,8,8
82145,Wim,2010,2/17,4374110,Westerpark,Amsterdam,North Holland,1051AL,Netherlands,52.38200517,4.8756299,Boat,Entire home/apt,6,1,2,2,Real Bed,200,4,35,3,within a few hours,1,2,90,9,10,10,9,8,8
82145,Wim,2010,2/17,2436846,Centrum-West,Amsterdam,North Holland,1016 HG,Netherlands,52.37121579,4.883911014,Boat,Entire home/apt,6,2,2,3,Real Bed,227,4,35,3,within a few hours,1,18,87,9,7,10,10,10,8
82145,Wim,2010,2/17,539036,Centrum-Oost,Amsterdam,North Holland,1018,Netherlands,52.36265828,4.909767079,Boat,Entire home/apt,4,1,2,2,Real Bed,140,2,35,3,within a few hours,1,37,88,9,9,9,9,9,9
82145,Wim,2010,2/17,85941,Centrum-West,Amsterdam,North Holland,1015 DT,Netherlands,52.37609642,4.884574734,Boat,Entire home/apt,4,1,1,2,Real Bed,200,2,40,3,within a few hours,1,25,95,9,9,9,9,10,9
97647,Flip,2010,3/23,27886,Centrum-West,Amsterdam,North Holland,1013,Netherlands,52.38672732,4.89207807,Boat,Entire home/apt,2,1,1,1,Real Bed,135,2,0,2,within a few hours,1,11,100,10,10,10,10,9,10
98829,Jelmer & Sarah,2010,3/25,3985308,De Baarsjes - Oud-West,Amsterdam,North Holland,1053,Netherlands,52.36695076,4.867029312,Apartment,Entire home/apt,2,1,1,1,Real Bed,90,1,0,4,within an hour,1,9,100,10,10,10,10,10,10
98844,Manolis,2010,3/25,178841,Westerpark,Amsterdam,North Holland,1052,Netherlands,52.38262451,4.878955874,Apartment,Entire home/apt,4,1.5,1,1,Real Bed,95,2,30,3,within a few hours,0.8,29,85,9,8,9,9,9,9
101455,Nazan & Patrick,2010,3/31,4641463,Centrum-West,Amsterdam,Noord-Holland,1016 BL,Netherlands,52.37148578,4.888167944,Apartment,Entire home/apt,4,1,2,4,Real Bed,179,2,25,2,a few days or more,0.4,11,93,9,10,10,10,10,9
106225,Jeff,2010,4/10,25488,Oostelijk Havengebied - Indische Buurt,Amsterdam,North Holland,1095,Netherlands,52.36500978,4.943572387,Apartment,Entire home/apt,6,1,3,3,Real Bed,120,4,25,4,within a few hours,1,69,91,9,9,9,9,8,9
106225,Jeff,2010,4/10,253792,Centrum-West,Amsterdam,North Holland,1012,Netherlands,52.37408073,4.897792586,Apartment,Entire home/apt,2,1,1,1,Real Bed,230,2,20,3,within a few hours,1,15,98,10,10,10,10,10,9
106241,Tanja,2010,4/10,25489,Centrum-Oost,Amsterdam,North Holland,1011,Netherlands,52.37531439,4.903689027,Apartment,Entire home/apt,4,1,2,2,Real Bed,195,2,35,2,within an hour,1,25,94,9,10,10,10,10,9
119217,Allan,2010,5/6,343195,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36436233,4.897554031,House,Private room,2,1,1,1,Real Bed,100,2,0,2,within a few hours,1,38,88,9,7,9,10,10,9
119217,Allan,2010,5/6,78033,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36498595,4.898400166,House,Private room,2,1,1,1,Futon,55,2,0,2,within a few hours,1,121,88,9,8,10,9,10,9
123414,Michele,2010,5/12,28658,De Baarsjes - Oud-West,Amsterdam,Noord-Holland,1056,Netherlands,52.37441423,4.857962927,Apartment,Private room,2,1,1,3,Real Bed,60,2,30,2,within an hour,1,218,93,9,10,10,9,9,9
123414,Michele,2010,5/12,2405985,Bos en Lommer,Amsterdam,North Holland,1056 GC,Netherlands,52.37529835,4.857196176,Apartment,Private room,2,1,1,1,Real Bed,60,1,0,2,within an hour,1,39,89,10,9,10,10,9,9
124245,Edwin,2010,5/13,28871,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36610077,4.889528484,House,Private room,2,,1,1,Real Bed,75,1,15,2,within a few hours,1,3,100,10,10,10,10,10,9
124245,Edwin,2010,5/13,29051,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36607213,4.89099938,House,Private room,1,,1,1,Real Bed,55,1,10,2,within a few hours,1,95,94,9,10,10,10,10,9
124245,Edwin,2010,5/13,83498,Centrum-West,Amsterdam,North Holland,1017,Netherlands,52.36722763,4.891235318,Bed & Breakfast,Private room,1,1,1,1,Real Bed,45,1,0,2,within a few hours,1,85,93,10,9,10,10,10,9
124912,Samy,2010,5/14,270777,Centrum-West,Amsterdam,North Holland,1016,Netherlands,52.3678093,4.877908369,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,120,1,0,3,within an hour,1,74,93,9,9,9,9,10,9
125667,Michèle,2010,5/16,29217,Zuid,Amsterdam,North Holland,1072 AW,Netherlands,52.34975311,4.884765072,Boat,Entire home/apt,4,2,2,2,Real Bed,180,2,0,1,within an hour,1,139,87,8,8,9,9,9,8
125667,Michèle,2010,5/16,4052965,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1072 AW,Netherlands,52.34982879,4.887147116,Boat,Entire home/apt,2,1,0,1,Real Bed,100,1,0,3,within an hour,1,31,90,9,9,9,9,9,8
125667,Michèle,2010,5/16,1018703,Zuid,Amsterdam,North Holland,1072 AW,Netherlands,52.3504502,4.8861133,Boat,Entire home/apt,2,1,0,1,Real Bed,100,2,45,3,within an hour,1,46,92,9,9,9,9,9,9
126790,Christopher,2010,5/17,1088859,De Baarsjes - Oud-West,Amsterdam,North Holland,1054,Netherlands,52.36793778,4.876497045,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,1,0,2,within an hour,1,18,99,10,9,10,10,10,9
127233,Ingeborg,2010,5/18,29554,Centrum-West,Amsterdam,NH,1013,Netherlands,52.38050992,4.894188598,Apartment,Entire home/apt,2,1,1,1,Real Bed,130,1,0,4,within a day,0.9,63,96,10,9,10,10,10,9
127233,Ingeborg,2010,5/18,4120357,Centrum-West,Amsterdam,North Holland,1013,Netherlands,52.3805797,4.892336621,Apartment,Entire home/apt,2,1,1,2,Real Bed,110,2,40,3,within a day,0.9,10,93,10,10,9,10,10,9
62341,Jurgen,2009,12/11,1030014,Centrum-West,Amsterdam,North Holland,1015 GN,Netherlands,52.38189925,4.882599016,Apartment,Entire home/apt,2,1,1,1,Real Bed,69,1,0,3,within an hour,1,13,90,9,8,10,10,10,9
127938,Mirte,2010,5/19,5734245,Watergraafsmeer,Amsterdam,NH,1091TL,Netherlands,52.34808093,4.913960886,Apartment,Entire home/apt,2,1,1,1,Real Bed,70,1,0,1,within a few hours,0.69,0,,,,,,,
131462,Riccardo,2010,5/25,30431,Centrum-Oost,Amsterdam,North Holland,1018,Netherlands,52.36325836,4.908473002,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,120,1,0,3,within an hour,1,5,95,10,10,10,10,10,9
133328,Francesca,2010,5/27,4549116,De Baarsjes - Oud-West,Amsterdam,North Holland,1056 DC,Netherlands,52.3706463,4.848612899,Apartment,Private room,1,1,1,1,Real Bed,40,1,0,2,within a few hours,0.96,11,96,10,10,10,10,9,9
133347,Ashly,2010,5/27,3186920,De Baarsjes - Oud-West,Amsterdam,North Holland,1054,Netherlands,52.36750276,4.875253281,Apartment,Entire home/apt,2,1,1,1,Real Bed,95,2,15,2,within a few hours,0.76,13,100,10,10,10,10,10,10
133488,Nienke,2010,5/27,31080,Zuid,Amsterdam,North Holland,1059,Netherlands,52.35132054,4.848382899,Apartment,Entire home/apt,4,1,3,3,Real Bed,180,4,30,4,within a few hours,0.89,13,97,10,10,10,10,9,10
133785,Martijn,2010,5/28,1819449,Centrum-West,Amsterdam,North Holland,1016 SP,Netherlands,52.36998657,4.879435888,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,0,0,3,within a day,1,1,97,10,10,10,10,10,8
140224,Pippa,2010,6/7,1362929,Centrum-West,Amsterdam,North Holland,1013,Netherlands,52.3804423,4.896870326,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,200,4,35,2,within a few hours,0.61,9,88,9,8,9,9,8,8
148238,Jeana,2010,6/20,34357,Westerpark,Amsterdam,North Holland,1013 WJ,Netherlands,52.39309367,4.872934521,Apartment,Entire home/apt,4,1.5,3,2,Real Bed,129,2,10,4,within a few hours,0.9,7,100,10,10,10,10,9,10
148390,Julie,2010,6/20,1395250,Centrum-West,Amsterdam,North Holland,1015,Netherlands,52.37732083,4.883227809,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,1,0,4,N/A,N/A,5,92,9,10,10,10,10,9
160130,Roy,2010,7/7,1039519,Centrum-West,Amsterdam,North Holland,1013,Netherlands,52.37983516,4.892287983,Apartment,Entire home/apt,4,1,1,3,Real Bed,150,2,40,2,within a day,1,9,98,10,10,10,10,10,10
164204,Julian,2010,7/12,38266,Centrum-West,Jordaan,NH,1015,Netherlands,52.37465882,4.878832927,Apartment,Entire home/apt,3,1,1,2,Futon,95,2,15,3,within a day,0.9,178,99,10,10,10,10,10,10
170371,Bob,2010,7/18,248461,Centrum-Oost,Amsterdam,North Holland,1012,Netherlands,52.36614982,4.890281816,Apartment,Entire home/apt,4,1,1,2,Real Bed,89,2,18,2,within an hour,0.97,188,91,9,9,10,10,10,9
170371,Bob,2010,7/18,1055452,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 KR,Netherlands,52.36924782,4.871122633,Apartment,Entire home/apt,2,1,1,1,Real Bed,125,1,0,2,within an hour,0.97,30,93,9,9,9,10,9,9
170462,Liedewij,2010,7/18,39688,Bos en Lommer,Amsterdam,North Holland,1055,Netherlands,52.38018953,4.854581502,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,130,2,20,2,within a few hours,0.9,10,100,10,10,10,10,9,9
172464,Iris,2010,7/19,3717606,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1079,Netherlands,52.34218309,4.902777408,Apartment,Entire home/apt,4,1,2,2,Real Bed,120,1,0,1,N/A,N/A,2,80,9,6,8,8,8,6
178227,Tom & Anat,2010,7/23,41075,Bos en Lommer,Amsterdam,North Holland,1055 ZT,Netherlands,52.38353198,4.855511391,Apartment,Entire home/apt,4,1,2,2,Real Bed,67,2,15,2,within a few hours,1,31,93,10,8,9,9,8,9
178294,Minee,2010,7/23,3749010,IJburg - Zeeburgereiland,Amsterdam,North Holland,1086,Netherlands,52.36125772,4.978977679,House,Entire home/apt,4,1.5,2,4,Real Bed,275,4,45,3,within an hour,1,3,90,10,10,10,9,9,8
178515,Fatih,2010,7/23,61777,Centrum-West,Jordaan,North Holland,1015,Netherlands,52.38105624,4.885679794,Apartment,Entire home/apt,2,1,1,1,Real Bed,76,1,0,4,within a day,1,58,92,9,9,9,10,10,9
179958,Karen,2010,7/25,1758862,De Pijp - Rivierenbuurt,Amsterdam,NH,1073CH,Netherlands,52.3552446,4.897286799,Apartment,Entire home/apt,4,1,2,6,Real Bed,89,2,25,4,within a few hours,1,37,94,9,10,10,10,10,9
179958,Karen,2010,7/25,41321,De Baarsjes - Oud-West,Amsterdam,North Holland,1054,Netherlands,52.36249426,4.87266318,Apartment,Entire home/apt,2,1,1,2,Real Bed,85,2,0,3,within a few hours,1,139,92,9,9,10,10,10,9
184354,Emiel,2010,7/29,42161,Watergraafsmeer,Amsterdam,North Holland,1098,Netherlands,52.35687489,4.946206583,Apartment,Entire home/apt,2,1,1,2,Real Bed,129,1,0,2,within a few hours,0.94,3,93,10,8,10,10,8,9
186729,Shawna,2010,7/31,82482,Centrum-West,Amsterdam,North Holland,1016,Netherlands,52.37025973,4.880030195,Apartment,Private room,4,1,1,1,Real Bed,85,2,15,1,within a day,1,297,89,9,8,9,9,10,9
187417,Bo And Cynthia,2010,8/1,42908,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1078 GK,Netherlands,52.34733353,4.88943128,Apartment,Entire home/apt,2,1,1,2,Real Bed,125,2,0,2,within a day,0.94,8,100,10,9,10,10,8,10
187580,Monique,2010,8/1,42970,Centrum-West,Amsterdam,North Holland,1012,Netherlands,52.3696163,4.888086949,Bed & Breakfast,Entire home/apt,2,1,1,1,Real Bed,139,1,0,2,within an hour,1,215,97,10,10,10,10,10,9
187580,Monique,2010,8/1,253650,Centrum-West,Amsterdam,North Holland,1012 VS,Netherlands,52.36775166,4.889815058,Bed & Breakfast,Entire home/apt,2,1,1,1,Real Bed,139,1,0,2,within an hour,1,120,97,10,10,10,10,10,9
187580,Monique,2010,8/1,568110,Centrum-West,Amsterdam,North Holland,1012,Netherlands,52.36786098,4.887054786,Apartment,Entire home/apt,2,1,1,1,Real Bed,195,1,0,4,within an hour,1,13,94,9,10,9,10,10,9
187728,Tanya,2010,8/1,634772,Centrum-West,Amsterdam,Noord-Holland,1015,Netherlands,52.38122515,4.883545849,House,Entire home/apt,4,1.5,1,1,Real Bed,170,2,25,2,within a few hours,0.95,1,100,10,10,10,10,10,10
187728,Tanya,2010,8/1,5505515,Centrum-Oost,Amsterdam,Noord-Holland,1017 HH,Netherlands,52.36362147,4.892492851,Apartment,Entire home/apt,3,1,1,1,Real Bed,130,2,50,4,within a few hours,0.97,0,,,,,,,
187728,Tanya,2010,8/1,44129,Centrum-West,Amsterdam,North Holland,1015 JJ,Netherlands,52.38071123,4.886104318,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,200,2,0,1,within a few hours,0.95,136,98,10,10,10,10,10,9
187728,Tanya,2010,8/1,1129362,Centrum-West,Amsterdam,North Holland,1012 KE,Netherlands,52.37014237,4.894398592,Bed & Breakfast,Entire home/apt,2,1.5,1,1,Real Bed,365,1,0,2,within a few hours,0.95,0,,,,,,,
187728,Tanya,2010,8/1,5856059,Oud-Oost,Amsterdam,Noord-Holland,1091,Netherlands,52.35471197,4.907448704,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,140,1,100,1,within a few hours,0.95,0,,,,,,,
187728,Tanya,2010,8/1,2517619,Centrum-Oost,Amsterdam,North Holland,1017HH,Netherlands,52.36286316,4.89312871,Apartment,Entire home/apt,2,1.5,0,1,Pull-out Sofa,120,1,0,3,within a few hours,0.95,17,96,10,10,10,10,10,9
187861,Lourent,2010,8/1,43054,Watergraafsmeer,Amsterdam,North Holland,1098,Netherlands,52.34988724,4.935026784,Apartment,Private room,2,2,1,2,Real Bed,74,1,0,1,within a few hours,0.92,30,84,9,8,9,10,9,9
191384,Pasquale,2010,8/4,4223753,Buitenveldert - Zuidas,Amsterdam,North Holland,1083 GP,Netherlands,52.33167527,4.888567385,Apartment,Private room,2,1.5,1,2,Real Bed,75,1,0,1,within a few hours,1,0,,,,,,,
